,Job_Title,Company,Salary,Location,Full_Description
284,Software Engineer Intern,Cadence Design Systems,,"San Jose, CA 95129","At Cadence, we hire and develop leaders and innovators who want to make an impact on the world of technology.
This position is for a summer internship, to work with a mentor in the Verification team to improve and add new functionality to existing system software code. Strong problem solving, analysis, and programming skills are required.
Key Responsibilities:
Design, develop, test and improve software.
Develop code for quality and scalability.
Profile code to understand bottlenecks and develop solutions.
Requirements:
Excellent software programming skills
Excellent verbal and written communication skills
Knowledge of debugging process, code development flow, and source control tools
We’re doing work that matters. Help us solve what others can’t."
285,Software Engineer I,Pros.,,"Houston, TX","This is a unique opportunity to join the market leading company that has not only 30+ years of proven success, but also has a significantly under penetrated opportunity in a $30B addressable market. PROS culture and the truly extraordinary people who work here are at the very core of our success. We have a passion for what we do, and we won’t stop until we’ve delivered on our promises. We’re committed to the success of our customers. That’s why we think harder and dream bigger – so our customers can go even further than they ever imagined possible. Our people make PROS stand out from the rest. if you want to be a part of something truly extraordinary, come help us shape the future of how companies compete and win in their markets.
Software Engineer I
Reporting to the Manager, Product Management, as a Software Engineer for an enterprise software product development group, you will be part of the core team that conceives designs and develops business application software that enables large enterprise customers to be more profitable. You will collaborate with Product Management, User Experience, Science & Research, Strategic and Professional service organizations in enriching and expanding requirements as well as driving product design. A successful candidate in this role will be driven by passion and high energy to take initiative and ownership. PROS is powering modern commerce with dynamic pricing science!
The Company - PROS:
PROS Holdings, Inc. (NYSE: PROS) is leading the shift to modern commerce, helping competitive enterprises create a personalized and frictionless experience for their customers. Powered with Dynamic Pricing Science, PROS solutions make it possible for companies to price, configure and sell their products and services with speed, precision and consistency across all sales channels. Our customers lead their markets across more than 10 sectors, and benefit from 30 years of accumulated knowledge and data science infused into our purpose-built industry solutions. PROS drives more than 200 million prices and 1.7 billion forecasts every day for enterprises in more than 30 industries around the globe. Our mission is to help companies and the people who work for them outperform. To learn more, visit pros.com.
A Day in the Life of the Software Engineer I -About the role:
This role involves design, coding and testing of back end applications. Activities include understanding product requirements, designing, coding and testing towards building the next generation of PROS products. The role requires coding expertise in enterprise applications acquired through professional experience. Fit assessment is not based on number of years in the workforce but on demonstrated coding skills and problem solving.
Required Qualifications - About you:
We are looking for candidates who possess the combination of the following achievements, skills and behaviors:
Bachelors/Masters degree in Computer Science or related discipline
Outstanding analytical, problem solving, verbal & written communication skills
Willingness to learn new technology in-depth
Experience in design and development of Java based or similar applications
Experience working with SQL relational databases
Experience with REST API development
Experience with test-driven development
Understanding Object Oriented Programming in a multi-threaded context
Skills & Personal Characteristics:
Communication
Collaborative
Agile
Why PROS?
PROS culture and the truly extraordinary people who work here are at the very core of our success. We have a passion for what we do, and we won’t stop until we’ve delivered on our promises. We’re committed to the success of our customers. That’s why we think harder and dream bigger – so our customers can go even further than they ever imagined possible.
This is a unique opportunity to join a company that has 30+ years of proven success with a long runway of more success. Analysts
Our people make PROS stand out from the rest. if you want to be a part of something truly extraordinary, come help us shape the future of how companies compete and win in their markets.
Work Environment:
Most work activities are performed in an office or home-office environment and require little to moderate physical exertion. Work activities may require periods of extended hours, critical deadlines and stressful situations. To successfully complete the tasks of this position, individuals must be able to communicate clearly (in writing and orally), comprehend business terminology, interpret numerical data.
This job description is intended to convey information essential to understanding the scope of the job and the general nature and level of work performed by job holders within this job. This job description is not intended to be an exhaustive list of qualifications, skills, efforts, duties, responsibilities or working conditions associated with the position.
PROS , Inc. (NYSE: PRO) provides AI-based solutions that power commerce in the digital economy. PROS solutions bring intelligence to commerce by providing companies with predictive and prescriptive guidance that enables them to dynamically price, configure and sell their products and services across all channels with speed, precision and consistency. Our customers, who are leaders in their markets, benefit from decades of data science expertise infused into our industry solutions. To learn more, visit pros.com ."
286,Software Engineer I (Java),CDK Global,,"Portland, OR 97201","Power the Possibilities

The CDK Global technology team is looking for collaborative innovators who are passionate about making their mark on emerging enterprise software products. We’re building and developing cloud technology for the automotive retail industry that will change the landscape for automotive dealers, original equipment manufacturers (OEMs) and the customers they serve.
Be Part of Something Bigger
Each year, more than three percent of the U.S. gross domestic product (GDP) is attributed to the auto industry, which flows through our customer, the auto dealer. It’s time you joined an evolving marketplace where research and development investment is measured in the tens of billions. It’s time you were a part of something bigger.
We’re expanding our workforce – engineers, architects, developers and more – onboarding early adopters who can optimize, pivot and keep pace with ever-evolving development roadmaps and applications.
Join Our Team
Growth potential, flexibility and material impact on the success and quality of a next-gen, enterprise software product make CDK an excellent choice for those who thrive in challenging, fast-paced engineering environments.

The possibilities for impact are endless. We have exceptional opportunities to evolve our industry by driving change through new technology.

If you’re ready for high-impact, you’re ready for CDK.

Responsibilities:
Code high quality software components that meet engineering team standards
Troubleshoot issues
Conduct code reviews, scope and estimate requirements, educate and mentor engineers
Prioritize and solve problems in a fast paced environment
Stay current with middleware trends and apply best practices to your code

Required Skills:
5+ years of experience in J2EE and Java object-oriented programming
2+ years of Java SpringBoot Framework experience
Experience with source control (Git, GitHub Flow)
Bachelor's degree or equivalent in IT, computer science or related field is preferred, with a * minimum of 2 years of directly related work experience in one of these fields (work experience may be used to in place of degree)
Experience working with distributed teams
Experience with Agile/Scrum methodologies
Excellent written and verbal communication skills
An ongoing thirst for new knowledge and ideas, and a passion for software engineering as a Full Stack Engineer.
Creative problem-solving, proficient debugging and profiling


Preferred Skills:
Proficient with JavaScript (React knowledge preferred)
Ability to work full stack

CDK Global knows you have passions outside of work. You have family, friends, sporting events, and lots of things going on. That’s why we offer a comprehensive benefits package to not only take care of you but your family as well. All of our benefits are effective the first day of employment including 401K matching, paid time off to re-energize, donate your time to volunteer in your community, and tuition reimbursement to name a few.
At CDK, we pride ourselves on having a diverse workforce. We value and celebrate the uniqueness of individuals and the different perspectives they provide. We offer equal opportunity employment regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, or protected veteran status."
287,ENTRY LEVEL SOFTWARE ENGINEER,Web App Solutions,,United States,"WASi is looking to add Entry Level Software Engineers to it's team to work on projects for its growing client base.

Requirements
Education - recently graduated or currently completing junior or senior year with BS/BA in Computer Science, Mathematics or Information Technology
Experience - school or real-world project experience using CSS / LESS / SASS / SCSS, and HTML5. JavaScript and frameworks like Angular, React, or Vue a plus.
Creativity - energy and vision to create rich, visual, well written, business applications
Flexibility - ability to work as required and in a remote capacity to complete tasks & projects
Strong desire to learn and take direction from WASi senior software engineers
Contractors and freelancers welcome"
288,Software Engineer I,DDM - Deseret Digital,,"Salt Lake City, UT 84101","Deseret Digital Media (DDM) is currently seeking a strong junior level Software Engineer to join our technology team to help build out our SeniorLeaf product.


SeniorLeaf is working hard to create a space where you can easily get in touch with the people you need to help you care for your aging loved ones. Our goal is to provide helpful articles, expert information, easy-to-use listing tools, and advice from a personal community of caregivers.


What you will do:

Help create the next iteration of SeniorLeaf's website
Write tested back and front-end code
Create APIs to support features on apps and websites
Work with databases to store and retrieve information
Make accessible friendly UIs with support for modern browsers
Perform code reviews for other team members
Work in an agile environment and participate in daily stand-ups, backlog refinements, retrospectives, and planning meetings
Share and contribute ideas and knowledge with the rest of the team
Use git and git-flow to manage code branches and releases
Break down large problems into smaller problems that are easier to reason about and tackle


Who we are looking for:

You have experience building web UIs with modern front-end libraries such as React, Vue, Angular, or Ember
You can write server-side code with languages like Node, Python, or PHP
You have familiarity with SQL and NoSQL databases
You have interest in or experience with GraphQL
You strive to make websites accessible and will actively encourage the team to do so
You stay up-to-date with what's going on in the web development world
You empathetically speak with and listen to other team members, product owners, stakeholders, and users
You believe in writing tests that resemble the way your software is used
You are comfortable giving and receiving feedback
You communicate complex technical thoughts and ideas clearly in both verbal and written forms
You believe in code standards and are willing to offload the burden of maintaining them to tools like prettier and eslint
You can be autonomous and self-driven
You help others around you grow as developers and be successful


About DDM


Deseret Digital Media (DDM) is the online division of Deseret Media Companies that manages properties including KSL.com, Utah.com and theMemories. The sites collectively reach over tens of millions of unique users and over 350 million page-views each month. The organization has a uniquely values-based mission and seeks to be strategic to its owner The Church of Jesus Christ of Latter-day Saints. All candidates need to fully support the company's mission statement: ""To be trusted voices of light and truth influencing hundreds of millions of people worldwide.""


Why DDM?


In addition to all the standard things that happen to be great at DDM (like competitive wages, opportunity for growth and advancement, stability, and super benefits):

We care about our contribution to the world. We not only care about the health of the business, we care about our impact on other humans. It's right in our mission statement more than once.
We take work/life balance seriously. No, really. We do. We care about what we do and we expect the work to get done on time, but we know there are extremely, vitally important things about your life outside of work, and we want you to take those things just as seriously.
Exceptional benefits, flexible PTO, contributing 401(k) and retirement plan.


This job is a great opportunity for a performance-driven, detail-oriented individual interested in a dynamic and growing organization. He or she should also be motivated by the organization's broader mission and be able to develop relationships with all members of the team. If this sounds like you, submit your resume today.


Deseret Digital Media is an equal opportunity employer. M/F/D/V"
289,Software Engineer Intern,"Econolite Group, Inc.",,"Anaheim, CA 92806","Develop the embedded software driving Econolite’s market-leading traffic controller products. Implement new features and maintain existing functionality. Plan software design and development tasks, provide effort estimates, and write code for development tasks. Work closely with the rest of the embedded software engineering team, and collaborate with Software Quality Assurance and other engineering teams as necessary to build and release high-quality products.

We are looking for a strong software engineer intern with proven proficiency in writing modern C++ code and unit tests, as well as a good understanding of software development principles and practices.

DUTIES:
Develop software for Econolite’s traffic controllers, including new features and functionality as well as bug fixes.Write efficient code, review pull requests, and debug issues. Write embedded software and tools primarily using C++. Develop unit tests and performance tests, as necessary.Collaborate with Hardware Engineering, Systems Engineering, and Software Quality Assurance teams, as necessary.Document technical plan, design, and implementation details on the Engineering Wiki.Assist with testing product functionality and troubleshooting product issues (reported internally or externally).
DISCLAIMER
The above statements are intended to indicate the general nature and level of work performed by employees within this classification. They are not designed to contain or be interpreted as an exhaustive list of all duties, responsibilities, skills, and qualifications required of employees assigned to this job.

We conform to all the laws, statutes, and regulations concerning equal employment opportunities and affirmative action. We strongly encourage women, minorities, individuals with disabilities and veterans to apply to all of our job openings. We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, gender identity, or national origin, age, disability status, Genetic Information & Testing, Family & Medical Leave, protected veteran status, or any other characteristic protected by law.

We prohibit Retaliation against individuals who bring forth any complaint, orally or in writing, to the employer or the government, or against any individuals who assist or participate in the investigation of any complaint or otherwise oppose discrimination.

An Equal Opportunity Employer - M/F/D/V - Non-Smoking Facility - Drug Free Workplace

By submitting an application for employment, I the applicant, certify that all of the above information (including resume and other attachments) is true and correct to the best of my knowledge. I authorize Econolite to request information from my previous employers and school officials and I release all concerned from any liability for furnishing such information. In the event of employment, I understand that willful omission, falsification or misrepresentation may constitute grounds for termination. It should be remembered, that employment is the mutual consent of Econolite and the employee. Consequently, either the employee or the Econolite can terminate the relationship “at will.”

In consideration of my employment, I agree to conform to all of the policies, rules and standards of the Company. I understand and agree to submit to a drug-screening and background check as part of a conditional offer of employment, and any other lawful pre-employment screening tests. I also understand that an offer of employment by the Company is conditional upon successfully passing a company-provided medical examination/drug screen and background screen. I understand that my refusal to take the medical examination/drug screen will cause the contingent offer of employment to be withdrawn and/or terminated if employed."
290,"Software Engineer, Monetization",Optimizely,,"San Francisco, CA 94105","Job Description

We’re looking for a software engineer on our Monetization team to help us build a billing infrastructure that is flexible, easy to report on and that prepares us for reaching our aspirations of being an impactful and enduring company that enables the world to turn data into action. This team drives and implements how we make our revenue in collaboration with the CFO, Finance and Go-To-Market teams. Working with such a diverse set of executives makes this is a high impact and high visibility team. Our customers include some of the largest retail, media, and travel companies who send billions of events per day to our system. Our billing systems need to scale, provide accurate usage metrics and provide flexibility for our sales and engineering teams to tailor our services to the needs of our customers.
You will have broad influence, leadership and impact on shaping the future direction of our billing infrastructure and how we use these algorithms.
What you’ll do:
Build services that can be easily used to customize pricing/packaging for our Go To Market teams without needing engineering support
Build integrations between Optimizely application and 3rd party invoicing systems
Implement and maintain a batch infrastructure to compute volume metrics and charge customers accordingly
Maintain an internal application that our Customer Success group uses to effectively serve our customers
Support pricing innovation and growth experiments targeted towards Pricing
Be a subject matter expert for the entire company on the billing aspects of Enterprise Customers
Deeply focus on the scalability and quality aspects in every step involved with getting customers set up to use Optimizely and invoiced correctly
Implement solutions that will help drive adoption of the Optimizely product
Why is this team important to Optimizely?
Business Impact: Every dollar that enters Optimizely via our revenue channels, will flow through the infrastructure owned by this team
High Visibility: This team works with the CFO and his pricing council, COO, Head of Sales, Go to Market team and Customer Success.
Help shape the Future: This team plays a significant role in making contributions to the future of Optimizely
Innovation: This team works with the Pricing Innovation team to help come up with models to effectively convey the value of our service to customers
Some technologies we work with:
Hadoop ecosystem (Kafka, HBase, Map-R)
Google Data Store, MySQL
Google App Engine, AWS cloud
Zuora, Salesforce and similar billing systems

Qualifications

You will be successful in this role if:
You look at engineering problems holistically and have developed best in class products
You are self-motivated, yet still, enjoy working in partnership across an organization
You find satisfaction in being a force multiplier for your colleagues
[bonus] Exposure/Experience to billing systems
[bonus] Exposure/Experience working on big data systems
[bonus] Experience working with go-to-market teams
[bonus] You have experience with Python
Additional Information

At Optimizely, we embody inclusion and embrace diversity. Optimizely is an equal opportunity employer and makes employment decisions on the basis of merit. Optimizely prohibits discrimination based on race, color, religion, sex, sexual identity, gender identity, marital status, veteran status, nationality, citizenship, age, disability, medical condition, pregnancy, or any other unlawful consideration. All your information will be kept confidential according to EEO guidelines.
Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
291,Software Engineer (Integration),Prosper Funding,,"San Francisco, CA","What We Need

As a member of this team, your primary responsibility will be to integrate and optimize third-party system-critical applications, including on-premises and cloud. You'll be the sole owner of a set of mission critical applications. The ideal candidate has a strong background in developing 24x7 production operations, API/FTP/MQ/batch-file integration, system monitoring, scripting, and system management/sizing/configuration across several test and production environments along with installation automation/testing. We utilize a progressive, test-driven, agile development methodology that places a high premium on communication, good design, and clean implementation. Above all, we are looking for smart, driven candidates who want to be part of a culture of innovation and creativity as we develop and define the peer-to-peer lending marketplace!


What You Will Do

Develop integration to third-party on-premises/cloud systems.
Implement additional features to third-party systems.
Automate installations and configuration management
Identify data and create SQL queries to implement on-demand fixes.
Coordinate and collaborate with other teams
Meet scalability, availability, security, and performance goals.
Operate in an Agile/Scrum environment.


What You Will Need To Have

Experience in large-scale system integration.
Experience in Linux and Windows administration.
Strong analytical skills to debug and solve complex engineering problems.
Solid hands-on experience with scripting languages is a must.
Experience in Java preferred


A Few Things to Know About Us

We offer an excellent compensation and benefits plan, including incentive bonuses, stock options, company-paid health, dental, and vision insurance, paid vacation time, 401(k) with employer-match, fitness reimbursement, commuting reimbursement, and more!

At Prosper, we're looking for people with passion, integrity, and a hunger to learn. We encourage you to apply even if your experience doesn't precisely match the job description. Your unique skill set and diverse perspective will stand out and set you apart from other candidates. Prosper thrives with people who think outside of the box and aren't afraid to challenge the status quo. We invite you to join us on our mission to advance financial well-being.

Prosper is committed to an inclusive and diverse workplace. All aspects of employment including the decision to hire, promote, discipline, or discharge, will be based on merit, competence, performance, and business needs. We do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law, including the San Francisco Fair Chance Ordinance. Prosper will consider for employment qualified applicants who are non-US citizens and will provide green card sponsorship."
292,Software Engineer,Pokemon Company International,,"Bellevue, WA","Summary of the Role
The Software Engineer will develop new features and enhance existing features within the Pokémon membership, organized play, or content services platforms. This role is responsible for innovation on the Pokémon platform, writing high-quality code that is well-tested and scales to the high demands of our fans. The Software Engineer will work with members inside and outside the Technology Organization with a focus on design and implementation of our services and systems.
What You Will Do
 Drive the design and implementation of new features on Pokémon’s platform of services and systems.
Translate business requirements into engineering tasks which can be estimated and completed in an Agile software system.
Work on multi-discipline teams, including non-technical stakeholders, to solve complex problems.
Write testable, maintainable, and well-documented code. Code quality comes first.
What You Will Bring
 2+ years of experience building and maintaining API-driven services used in multi-tiered, scalable web platforms.
Experience in Python (Django framework preferred), PostgreSQL or MySQL RDBMS, and front-end technologies.
Experience with AWS services, containerization and unit test frameworks preferred.
Experience with Agile Methodology and Test Driven Development preferred.
BS Degree in Computer Science or equivalent work experience.
How You Will Be Successful
 Communication: Impeccable written and verbal communication with ability to translate technical information in a non-technical format.
Bias for Action: You have an eagerness to take initiative and persist in accomplishing objectives despite obstacles and setbacks. You work to resolve requests and incidents with a high sense of urgency and ownership.
Great people skills: You know the “how” is as important as the “what” and you aim to build effective relationships across the organizations, as well as externally with 3rd parties. You are mindful of diverse perspectives and engage clients in a professional manner.
Passion & Pride in your work: You love what you do and how you can add value to your clients; You ensure consistency and quality of your work and take a methodical approach to troubleshooting and resolution.
Logical and analytical: You’re able to distill and synthesize complex ideas into concise, meaningful information to clients. You’re adept at prioritization and project management with attentiveness to detail and consistent follow through.
Growth mindset: You thrive in a dynamic and fluid environment because you are a self-starter who is eager to learn, grow and build something great together; building and enhancing programs appeals to you. You have a desire to stay current on technology trends and Information Technology concepts.
What to Expect
We offer a professional, fun and creative work environment. While we maintain a good balance between work and life, additional hours may be required at peak times or for specific initiatives. Travel between office locations internationally may be required on occasion.


The Pokémon Company International, a subsidiary of The Pokémon Company in Japan, manages the property outside of Asia and is responsible for brand management, licensing, marketing, the Pokémon Trading Card Game, the animated TV series, home entertainment, and the official Pokémon website. Pokémon was launched in Japan in 1996 and today is one of the most popular children's entertainment properties in the world.
The above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not to be construed as an exhaustive list of all responsibilities, duties, and skills required of people so classified. All employees may be required to perform duties outside of their normal responsibilities from time to time, as needed."
293,Entry Level Software Engineer,General Dynamics Mission Systems,,"Pittsfield, MA","Basic Qualifications
Bachelor's degree in software engineering or a related technical field, or equivalent experience is required. Agile experience preferred.

Department of Defense SECRET security clearance is required within 24 months of hire. Applicants selected will be subject to a U.S. Government security investigation and must meet eligibility requirements for access to classified information. Due to the nature of work performed within our facilities, U.S. citizenship is required.
Responsibilities for this Position
That amazing challenge you’re looking for is here. At GDMS, you’ll share your talent with a team that creates the technologies, products and services that help our nation’s heroes keep our nation safe. The work is so advanced it’s often classified “top secret.” It’s your career. Think you’re up to the challenge of GDMS?

As a Software Engineer, you’ll perform software requirements analysis, participate in research and design, and develop and test software and tools. From inventing new products or enhancing existing applications, your talent will be front and center.

What you’ll experience:
The chance to experience what’s next in technology – as it’s discovered
A team of world-class thinkers who are just as committed to innovation as you are
Opportunities to grow your skills and advance in your profession

What you bring to the table:
Bachelor's degree in software engineering or a related technical field, or equivalent experience is required (C++ or Java)
Agile experience preferred
Proficient understanding of software engineering concepts, principles, and theories
Expertise at applying technical standards and methodologies to resolve issues in creative ways

What sets you apart:
Excellent communication skills
Commitment to ongoing professional development
Ability to quickly grasp and apply new information
Ability to effectively handle complex assignments

One last thing:
Department of Defense SECRET security clearance is required within 24 months of hire. Applicants selected will be subject to a U.S. Government security investigation and must meet eligibility requirements for access to classified information. Due to the nature of work performed within our facilities, U.S. citizenship is required.
Company Overview
General Dynamics Mission Systems (GDMS) engineers a diverse portfolio of high technology solutions, products and services that enable customers to successfully execute missions across all domains of operation. With a global team of 13,000+ top professionals, we partner with the best in industry to expand the bounds of innovation in the defense and scientific arenas. Given the nature of our work and who we are, we value trust, honesty, alignment and transparency. We offer highly competitive benefits and pride ourselves in being a great place to work with a shared sense of purpose. You will also enjoy a flexible work environment where contributions are recognized and rewarded. If who we are and what we do resonates with you, we invite you to join our high performance team!"
294,Software Engineer,Raytheon,,"Aurora, CO 80011","Job Description: : Raytheon IIS/GIS provides Operations and Maintenance support for the Intelligence Community

Raytheon is seeking a technical individual interested in gaining software development and support experience in a dynamic and rewarding environment. Applicant must be able to work independently as well as part of a team, sharing ideas and responsibilities. We are interested in an individual with a desire to learn and participate in all phases of software support that includes maintenance and enhancement of existing systems, design and development of new systems, test, problem investigation, documentation updates, milestone reporting and end user support. Our software process is subject to a rigid customer defined integration process and the applicant must be able to adhere to the defined process.

Responsibilities include:
Ability support senior engineers with design, development, integration and maintenance of new software functionality
Ability to work with previously written code and make modifications as necessary
Analyze and resolve anomalies related to software, system configuration, network interfaces and operating system issues and be able to communicate discoveries and recommended solutions and alternatives to senior engineers and customers
Interface with and provide support to users
Ability to adhere to rigid customer defined integration process and follow established SW processes and procedures
Must be available for occasional off-hours support
Required Skills:
Minimum of 2 years experience in software design, development and maintenance
Strong teamwork skills that include the ability to interact productively with team members, users and customers
TS/SCI clearance with a CI Poly
Desired Skills:
C++ or Java programming experience
Unix or Linux OS experience
Required Education (including Major):
A degree in Science, Technology, Engineering or Mathematics (STEM)

This position requires a U.S. Person. 132261
Raytheon is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status."
295,Software Engineer Apprentice,Red Foundry,,"Chicago, IL","Thank you for your interest in our Software Engineer Apprentice position!

About The Position

We are seeking a Software Engineer Apprentice to work on our Client Delivery team. This entry-level position will be primarily responsible for providing a combination of Quality Assurance Testing on web and mobile applications, developing software using JavaScript within the React and React Native frameworks, AND successfully progressing through rapid on-the-job training and other on-line training programs to be promoted from this Apprentice position to a Web and Mobile App Developer within 3-6 months. This is a full-time position that offers an entry-level salary, health insurance benefits, and flexible work hours. This position is primarily ‘work from home’ with occasional on-site client meetings and team meetings.

Qualifications

Bachelor’s degree in software engineering, computer science, or equivalent experience
3+ years of general work experience demonstrating a track record of success
Desired Skills: JavaScript/TypeScript, HTML/CSS, React, RESTful API integration, and database experience (relational and NoSQL)
Able to work collaboratively in small teams with other specialized software development individuals
Able to work independently in a fast-paced environment
Solid verbal and writing communication skills
Strong attention to detail and a passion for quality, client happiness and continuous learning
Candidates must be U.S. Citizens and able to pass a background check
Candidates must be located in the Chicagoland area
AND, Candidates must be willing to put in the time and effort to rapidly progress their software development skills through a combination of client projects and on-line training
If you are looking for a challenging new position that will let you flex your development muscles while spending less time commuting and more time creating amazingly cool software for awesome clients, this is the perfect role for you.

Qualified applicants can apply by sending a resume and samples of work to jobs@redfoundry.com."
296,"Software Engineer, Deploy",Square,,"San Francisco, CA 94103","Job Description

The Deploy team is responsible for providing a safe and reliable orchestration platform to allow Square engineers to manage their services. We collaborate with other platform teams to provide a rich environment integrating physical hardware, network components, service discovery, data stores, build systems, and security. Our current and upcoming projects include support for Docker containers, building out our next generation platform with Kubernetes, and extending deployments into the cloud.
You Will:
Design and build the future of putting code on machines at Square
Write software to integrate deployment orchestration with internal platform components
Collaborate with other infrastructure teams to further the reliability and security of Square
Collaborate with product teams to understand their infrastructure needs

Qualifications

You Have:
5+ years of experience developing scalable production services
Strong programming experience in Go
Experience with Linux production systems
Experience managing Kubernetes installations
Additional Information

At Square, our purpose is to empower – within and outside of our walls. In order to build the best tools for the businesses and customers we support all over the world, we have to start at home with a workforce as diverse and empowered as our sellers. To this end, we take great care to evaluate all employees and job applicants equally, based on merit, competence, and qualifications. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or any other characteristic protected by law. We encourage candidates from all backgrounds to apply and always consider qualified applicants with arrest and conviction records, in accordance with the San Francisco Fair Chance Ordinance. Applicants in need of special assistance or accommodation during the interview process or in accessing our website may contact us by sending an email to assistance(at)squareup.com. We will treat your request as confidentially as possible. In your email, please include your name and preferred method of contact, and we will respond as soon as possible."
297,Software Engineer,OpenVault,,United States,"Can be Remote, New Jersey
Posted 7 months ago
Job Summary
OpenVault LLC is expanding their Engineering department. The ideal candidate has strong analytical and problem-solving skills with a passion for providing exceptional software solutions. This position offers the opportunity to provide support for existing products in addition to collaborating on new development.
The office is based in the New Jersey area, but the position can be remote and reports to the VP of Engineering.

Responsibilities include but not limited to:
Develop new solutions to help OpenVault lead the industry and handle growing customer broadband data usage
Conduct industry research on new technology and solutions
Test solutions in controlled, real situations before releasing to production
Monitor daily operational processes and take corrective action as necessary
Provide customer education on OpenVault services and processes
Assist with implementations
Troubleshoot and resolve customer reported issues
Qualifications and Skills:
5+ years’ experience in web and software development
Demonstrated knowledge of web technologies, such as HTML, PHP and JavaScript
Experience developing requirements documents
Comfort architecting new software solutions
Linux/Unix knowledge with Bash command line and scripting
Proficiency in MySQL DB and Query Language
Experience with Software Optimization and Performance Improvement
Self-disciplined with the ability to learn and manage work with minimal supervision or direction
Excellent interpersonal, verbal and written communication
Demonstrated ability to manage customer expectations
Advanced troubleshooting and problem-solving skills
Highly organized with close attention to detail
Comfortable working in a fast-paced environment; able to handle shifting priorities
Knowledge with OpenVault products and tools
Industry Knowledge of DOCSIS, IPDR and CMTS technology a plus
Understanding of cloud services such as AWS a plus
Intermediate proficiency with Microsoft Office Suite
Job Features
Job Category Data and Software Engineer, Java/Software Engineer"
298,Software Engineer,NetDocuments,,"Lehi, UT 84043","Software Engineer
Reports to: Engineering Manager

Location: Headquarters, UT
Classification: Exempt
Position Type: Full time

Supervisory Responsibility: No

Travel: < 10%


Company Summary
Founded in 1999, with more than 2,500 enterprise customers worldwide, NetDocuments is the legal industry’s most trusted cloud-based content services and workflow platform. Complete with state-of-the-art built-in security, compliance and governance solutions, NetDocuments offers document management, email management and collaboration technology complete with disaster recovery, enterprise search, and matter centricity features.

NetDocuments values our family oriented culture and the employee experience. High impact, effort, and success are rewarded. We offer an excellent benefit package (medical, dental, vision, 401(k) plan with company match, short and long-term disability, and life insurance). Perks include Wednesday lunch, fully stocked break room, on site gym, and regular fun committee activities.


Summary/Objective
Develops, modifies, and maintains customized and/or standardized moderately complex software programming applications through design and coding.


Essential Functions
Designs/codes applications following specifications using the appropriate tools.
Maintains and modifies existing applications without supervision as well as under direction from senior engineers.
Performs maintenance programing for existing version.
Performs custom programming at customer request.
Assumes responsibility for ongoing data architecture for product.
Other duties as assigned.

Competencies
Technical Capacity
Communication Proficiency
Problem Solving/Analysis
Time Management

Required Education and Experience
Bachelor’s degree or higher in Computer Science, Engineering, or a related field or equivalent on-the-job experience
Minimum 5 years of experience in Java development preferably as Solr/Lucene or any search engine or noSQL database like kafka/Redis/couchbase developer
Preferred Experience
Systems:

Java Solr/Lucene Kafka Couchbase Redis SQL Agile development methodology Object oriented programming


NetDocuments is an Equal Opportunity Employer and prohibits discrimination and harassment of any kind. All employment decisions are based on business needs, job requirements, individual qualifications, without regard to race, color, religion, sex, (including pregnancy), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity and/or expression, military and veteran status, or any other status protected by laws or regulations in the locations where we operate. NetDocuments believes diversity and inclusion among our employees is critical to our success, and we are committed to providing a work environment free of discrimination and harassment."
