,Title,Location,Qualifications,Skills,Responsibilities,Education,Requirement
1531,Data Scientist,"Boston, MA",None Found,None Found,None Found,None Found,None Found
1532,Machine Learning / NLP Data Scientist,"Chicago, IL",None Found,None Found,None Found,None Found,"
Minimum BA/BS; MBA from a top school or advanced degree in related field to client portfolio preferred
Candidates based in the greater Chicago-land area are strongly preferred
Position requires periodic travel, potentially up to 100% for particular assignments, including short-term international projects
Additional language capabilities are highly desirable
"
1533,SENIOR DATA SCIENTIST,"Seattle, WA",None Found,None Found,None Found,None Found,None Found
1534,eDiscovery Data Scientist,"Washington, DC","Bachelors Degree and Five (5) years of professional work experience, of which at least five (5) years must be specialized
Must be able to obtain a Moderate Background Investigation (MBI) security clearance
US Citizenship or Permanent Residence/Green Card status required
5+ years' experience working in the insights/analytics industry (including data science, analytics/business intelligence)
5+ years' experience working with statistical software (Python or similar) either professionally or academically
5+ years' experience working with visualization tools (PowerBI preferred)
Proven working experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining, data visualization, statistical analytics, and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks such as Tableau, Qlik)
Strong analytical skills with the ability to collect, cleanse, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Ability to accurately record and document data handling and processing for ensured repeatability and traceability
Remote and on-call responsibilities may be required
Ability to work overtime required on occasion",None Found,"Work with the Software Development, Requirements Development, Cyber Security teams and the new e-Discovery team to build working dashboards within PowerBI of business driven reports
View multiple sources of data and interpret business operations/intelligence
Build the analytics practice within the Office of Information Technology division for the federal customer
Translate business requirements within disperse data sources
Build forecasting models
Drive the federal agency to a data-driven culture
Facilitate sessions with the customer to determine key data metrics, interpreting data, analyzing results using statistical techniques and providing ongoing reports
Develop and implement databases, data collection systems, data analytics and other data repository tools and processes that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintaining databases/data repositories and data analysis systems
Conduct full lifecycle analysis to include requirements gathering, experiment design, data cleansing, documentation, and presentation
Develop analysis and reporting capabilities and monitor performance and quality control plans to identify improvements
Develop requirements from a project’s inception to its conclusion in the subject matter area for simple to moderately complex systems
Assist other team members with analysis and evaluation and with the preparation of recommendations for project or engagement-wide matters
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems as well as applying the best practices of data science
Work with management to prioritize business and needs and aligned information needs
Locate and define new process improvement opportunities",None Found,None Found
1535,Data Scientist (Artificial Intelligence/Machine Learning),"Birmingham, AL",None Found,None Found,None Found,None Found,"Bachelor’s degree from an accredited institution in Computer Science, Data Science, or related field highly preferred
Minimum of 2 years of relevant Data Analytics or Software Development experience in Python highly preferred; knowledge of healthcare and EMR software is a plus
The candidate must possess excellent interpersonal and problem solving skills, must demonstrate efficiency, punctuality and professional communication via phone and email.
Proficiency in basic computer operation within a Windows environment, and have a basic knowledge of .Net programming."
1536,Data Scientist,"Herndon, VA","
High levels of curiosity, creativity, and problem solving capabilities
Experience with Python
Experience with R
Strong understanding of machine learning fundamentals
Ability to work both independently and collaboratively with a team
Experience working in AWS environment
Educational background in data science or equivalent mastery
","
Experience with deep learning
Experience with imagery processing
Experience with geospatial Python libraries
",None Found,None Found,None Found
1537,Senior Data Scientist,"Sunnyvale, CA 94089",None Found,None Found,None Found,None Found,None Found
1538,"Data Scientist, RPSG","New York, NY 11201",None Found,None Found,"
Identify the data analytics problems that offer the greatest opportunities for growth and improvement by building metrics and models that will comprise the basis of EduStat.
Identify, evaluate, and refine metrics from other Department data systems and develop machine learning models to identify hidden patterns and trends to focus leadership conversations and support data-driven decision-making.
Collect and analyze large sets of structured- and unstructured data from various and distinct sources.
Utilize a combination of variables and data points to create metrics and cut points to identify key early warning indicators of adverse outcomes.
Utilize machine learning algorithms and statistics such as regression, simulation, scenario analysis, modeling, etc. to interpret data to feed EduStat reporting.
Evaluate metrics currently in use and identify meaningful cut points and metrics to drive attention and resources to areas of greatest opportunity.
Coordinate with a cross-functional team of analysts contributing to dataset creation and maintenance as well as back- and front-end designers.
Work closely with programmers and UX designers to support the development of business requirements and ensure relevant metrics are presented accurately, with fidelity, and in context.
Collaborate with DOE policymakers and educators to identify central research and analytic priorities, which can include the implementation of organizational procedures, structures, and programs, utilization of data systems and data collection, and performance standards.
Develop a testing framework and test model quality; develop processes and tools to monitor and analyze model performance.
Work with stakeholders throughout the Department to identify opportunities to leverage student data to drive decision-making by school leaders and at the highest levels of the organization.
Draft communications based on updates to relevant policies and new product launches or improvements.
Design and produce both ad hoc and regular reports to meet a variety of needs from diverse stakeholders which may include other teams within the Division of Teaching and Learning.
","
Identify the data analytics problems that offer the greatest opportunities for growth and improvement by building metrics and models that will comprise the basis of EduStat.
Identify, evaluate, and refine metrics from other Department data systems and develop machine learning models to identify hidden patterns and trends to focus leadership conversations and support data-driven decision-making.
Collect and analyze large sets of structured- and unstructured data from various and distinct sources.
Utilize a combination of variables and data points to create metrics and cut points to identify key early warning indicators of adverse outcomes.
Utilize machine learning algorithms and statistics such as regression, simulation, scenario analysis, modeling, etc. to interpret data to feed EduStat reporting.
Evaluate metrics currently in use and identify meaningful cut points and metrics to drive attention and resources to areas of greatest opportunity.
Coordinate with a cross-functional team of analysts contributing to dataset creation and maintenance as well as back- and front-end designers.
Work closely with programmers and UX designers to support the development of business requirements and ensure relevant metrics are presented accurately, with fidelity, and in context.
Collaborate with DOE policymakers and educators to identify central research and analytic priorities, which can include the implementation of organizational procedures, structures, and programs, utilization of data systems and data collection, and performance standards.
Develop a testing framework and test model quality; develop processes and tools to monitor and analyze model performance.
Work with stakeholders throughout the Department to identify opportunities to leverage student data to drive decision-making by school leaders and at the highest levels of the organization.
Draft communications based on updates to relevant policies and new product launches or improvements.
Design and produce both ad hoc and regular reports to meet a variety of needs from diverse stakeholders which may include other teams within the Division of Teaching and Learning.
","
A master’s degree from an accredited college in economics, finance, accounting, business or public administration, human resources management, management science, operations research, organizational behavior, industrial psychology, statistics, personnel administration, labor relations, psychology, sociology, human resources development, political science, or a closely related field; or
A baccalaureate degree from an accredited college and two years of full-time satisfactory professional experience working with the budget of a large public or private concern in public administration, accounting, economic or financial administration, or fiscal or economic research; or in management or methods analysis, operations research, organizational research or program evaluation; or in educational, personnel or public administration, recruitment, position classification, personnel relations, labor relations, employee benefits, staff development, employment program planning/administration, labor market research, economic planning, fiscal management; or in a related area.
"
1539,Data Scientist,"Durham, NC 27709",None Found,None Found,"
Analysis and management of data derived from pharmaceutical discovery assays
Evaluation of complex data sets and interpretation of results within the context of biological processes
Programming or integration of systems to support pharmaceutical drug discovery.
",None Found,"
BS degree and a minimum of 2+ years relevant industry experience required
Extensive experience with Python and R is required
Experience with analytics software packages such as Spotfire or JMP and data visualization via Jupyter, D3, Plotly, or other tools is required
Experience analyzing complex data sets and deriving and communicating conclusions and next steps is required
Experience in algorithm design, development, and application is required
Relevant experience in drug discovery is required
Familiarity with relational databases and SQL is required
Familiarity with version control concepts and best practices, including Git is required
Working knowledge of statistics and experience in the application of statistics to solve diverse problems is required
Ability to work in a fast-paced environment and to support defined timelines is required
Ability to work effectively both independently and in cross-functional teams is required
Excellent interpersonal skills, strong initiative, excellent organization and attention to detail, proactive communication skills, and strong written and verbal communication and presentation skills are required
Experience with commercial cloud computing platforms (AWS, Azure, etc.) a plus
Experience in the integration and configuration of commercial LIMS software a plus
Working knowledge of biology and biological processes a plus
"
1540,Data Scientist,"Boston, MA",None Found,None Found,None Found,None Found,None Found
1541,Machine Learning / NLP Data Scientist,"Chicago, IL",None Found,None Found,None Found,None Found,"
Minimum BA/BS; MBA from a top school or advanced degree in related field to client portfolio preferred
Candidates based in the greater Chicago-land area are strongly preferred
Position requires periodic travel, potentially up to 100% for particular assignments, including short-term international projects
Additional language capabilities are highly desirable
"
1542,SENIOR DATA SCIENTIST,"Seattle, WA",None Found,None Found,None Found,None Found,None Found
1543,eDiscovery Data Scientist,"Washington, DC","Bachelors Degree and Five (5) years of professional work experience, of which at least five (5) years must be specialized
Must be able to obtain a Moderate Background Investigation (MBI) security clearance
US Citizenship or Permanent Residence/Green Card status required
5+ years' experience working in the insights/analytics industry (including data science, analytics/business intelligence)
5+ years' experience working with statistical software (Python or similar) either professionally or academically
5+ years' experience working with visualization tools (PowerBI preferred)
Proven working experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining, data visualization, statistical analytics, and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks such as Tableau, Qlik)
Strong analytical skills with the ability to collect, cleanse, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Ability to accurately record and document data handling and processing for ensured repeatability and traceability
Remote and on-call responsibilities may be required
Ability to work overtime required on occasion",None Found,"Work with the Software Development, Requirements Development, Cyber Security teams and the new e-Discovery team to build working dashboards within PowerBI of business driven reports
View multiple sources of data and interpret business operations/intelligence
Build the analytics practice within the Office of Information Technology division for the federal customer
Translate business requirements within disperse data sources
Build forecasting models
Drive the federal agency to a data-driven culture
Facilitate sessions with the customer to determine key data metrics, interpreting data, analyzing results using statistical techniques and providing ongoing reports
Develop and implement databases, data collection systems, data analytics and other data repository tools and processes that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintaining databases/data repositories and data analysis systems
Conduct full lifecycle analysis to include requirements gathering, experiment design, data cleansing, documentation, and presentation
Develop analysis and reporting capabilities and monitor performance and quality control plans to identify improvements
Develop requirements from a project’s inception to its conclusion in the subject matter area for simple to moderately complex systems
Assist other team members with analysis and evaluation and with the preparation of recommendations for project or engagement-wide matters
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems as well as applying the best practices of data science
Work with management to prioritize business and needs and aligned information needs
Locate and define new process improvement opportunities",None Found,None Found
1544,Data Scientist (Artificial Intelligence/Machine Learning),"Birmingham, AL",None Found,None Found,None Found,None Found,"Bachelor’s degree from an accredited institution in Computer Science, Data Science, or related field highly preferred
Minimum of 2 years of relevant Data Analytics or Software Development experience in Python highly preferred; knowledge of healthcare and EMR software is a plus
The candidate must possess excellent interpersonal and problem solving skills, must demonstrate efficiency, punctuality and professional communication via phone and email.
Proficiency in basic computer operation within a Windows environment, and have a basic knowledge of .Net programming."
1545,Data Scientist,"Herndon, VA","
High levels of curiosity, creativity, and problem solving capabilities
Experience with Python
Experience with R
Strong understanding of machine learning fundamentals
Ability to work both independently and collaboratively with a team
Experience working in AWS environment
Educational background in data science or equivalent mastery
","
Experience with deep learning
Experience with imagery processing
Experience with geospatial Python libraries
",None Found,None Found,None Found
1546,Senior Data Scientist,"Sunnyvale, CA 94089",None Found,None Found,None Found,None Found,None Found
1547,"Data Scientist, RPSG","New York, NY 11201",None Found,None Found,"
Identify the data analytics problems that offer the greatest opportunities for growth and improvement by building metrics and models that will comprise the basis of EduStat.
Identify, evaluate, and refine metrics from other Department data systems and develop machine learning models to identify hidden patterns and trends to focus leadership conversations and support data-driven decision-making.
Collect and analyze large sets of structured- and unstructured data from various and distinct sources.
Utilize a combination of variables and data points to create metrics and cut points to identify key early warning indicators of adverse outcomes.
Utilize machine learning algorithms and statistics such as regression, simulation, scenario analysis, modeling, etc. to interpret data to feed EduStat reporting.
Evaluate metrics currently in use and identify meaningful cut points and metrics to drive attention and resources to areas of greatest opportunity.
Coordinate with a cross-functional team of analysts contributing to dataset creation and maintenance as well as back- and front-end designers.
Work closely with programmers and UX designers to support the development of business requirements and ensure relevant metrics are presented accurately, with fidelity, and in context.
Collaborate with DOE policymakers and educators to identify central research and analytic priorities, which can include the implementation of organizational procedures, structures, and programs, utilization of data systems and data collection, and performance standards.
Develop a testing framework and test model quality; develop processes and tools to monitor and analyze model performance.
Work with stakeholders throughout the Department to identify opportunities to leverage student data to drive decision-making by school leaders and at the highest levels of the organization.
Draft communications based on updates to relevant policies and new product launches or improvements.
Design and produce both ad hoc and regular reports to meet a variety of needs from diverse stakeholders which may include other teams within the Division of Teaching and Learning.
","
Identify the data analytics problems that offer the greatest opportunities for growth and improvement by building metrics and models that will comprise the basis of EduStat.
Identify, evaluate, and refine metrics from other Department data systems and develop machine learning models to identify hidden patterns and trends to focus leadership conversations and support data-driven decision-making.
Collect and analyze large sets of structured- and unstructured data from various and distinct sources.
Utilize a combination of variables and data points to create metrics and cut points to identify key early warning indicators of adverse outcomes.
Utilize machine learning algorithms and statistics such as regression, simulation, scenario analysis, modeling, etc. to interpret data to feed EduStat reporting.
Evaluate metrics currently in use and identify meaningful cut points and metrics to drive attention and resources to areas of greatest opportunity.
Coordinate with a cross-functional team of analysts contributing to dataset creation and maintenance as well as back- and front-end designers.
Work closely with programmers and UX designers to support the development of business requirements and ensure relevant metrics are presented accurately, with fidelity, and in context.
Collaborate with DOE policymakers and educators to identify central research and analytic priorities, which can include the implementation of organizational procedures, structures, and programs, utilization of data systems and data collection, and performance standards.
Develop a testing framework and test model quality; develop processes and tools to monitor and analyze model performance.
Work with stakeholders throughout the Department to identify opportunities to leverage student data to drive decision-making by school leaders and at the highest levels of the organization.
Draft communications based on updates to relevant policies and new product launches or improvements.
Design and produce both ad hoc and regular reports to meet a variety of needs from diverse stakeholders which may include other teams within the Division of Teaching and Learning.
","
A master’s degree from an accredited college in economics, finance, accounting, business or public administration, human resources management, management science, operations research, organizational behavior, industrial psychology, statistics, personnel administration, labor relations, psychology, sociology, human resources development, political science, or a closely related field; or
A baccalaureate degree from an accredited college and two years of full-time satisfactory professional experience working with the budget of a large public or private concern in public administration, accounting, economic or financial administration, or fiscal or economic research; or in management or methods analysis, operations research, organizational research or program evaluation; or in educational, personnel or public administration, recruitment, position classification, personnel relations, labor relations, employee benefits, staff development, employment program planning/administration, labor market research, economic planning, fiscal management; or in a related area.
"
1548,Data Scientist,"Durham, NC 27709",None Found,None Found,"
Analysis and management of data derived from pharmaceutical discovery assays
Evaluation of complex data sets and interpretation of results within the context of biological processes
Programming or integration of systems to support pharmaceutical drug discovery.
",None Found,"
BS degree and a minimum of 2+ years relevant industry experience required
Extensive experience with Python and R is required
Experience with analytics software packages such as Spotfire or JMP and data visualization via Jupyter, D3, Plotly, or other tools is required
Experience analyzing complex data sets and deriving and communicating conclusions and next steps is required
Experience in algorithm design, development, and application is required
Relevant experience in drug discovery is required
Familiarity with relational databases and SQL is required
Familiarity with version control concepts and best practices, including Git is required
Working knowledge of statistics and experience in the application of statistics to solve diverse problems is required
Ability to work in a fast-paced environment and to support defined timelines is required
Ability to work effectively both independently and in cross-functional teams is required
Excellent interpersonal skills, strong initiative, excellent organization and attention to detail, proactive communication skills, and strong written and verbal communication and presentation skills are required
Experience with commercial cloud computing platforms (AWS, Azure, etc.) a plus
Experience in the integration and configuration of commercial LIMS software a plus
Working knowledge of biology and biological processes a plus
"
1549,Data Scientist,"Boston, MA",None Found,None Found,None Found,None Found,None Found
1550,Machine Learning / NLP Data Scientist,"Chicago, IL",None Found,None Found,None Found,None Found,"
Minimum BA/BS; MBA from a top school or advanced degree in related field to client portfolio preferred
Candidates based in the greater Chicago-land area are strongly preferred
Position requires periodic travel, potentially up to 100% for particular assignments, including short-term international projects
Additional language capabilities are highly desirable
"
1551,SENIOR DATA SCIENTIST,"Seattle, WA",None Found,None Found,None Found,None Found,None Found
1552,eDiscovery Data Scientist,"Washington, DC","Bachelors Degree and Five (5) years of professional work experience, of which at least five (5) years must be specialized
Must be able to obtain a Moderate Background Investigation (MBI) security clearance
US Citizenship or Permanent Residence/Green Card status required
5+ years' experience working in the insights/analytics industry (including data science, analytics/business intelligence)
5+ years' experience working with statistical software (Python or similar) either professionally or academically
5+ years' experience working with visualization tools (PowerBI preferred)
Proven working experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining, data visualization, statistical analytics, and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks such as Tableau, Qlik)
Strong analytical skills with the ability to collect, cleanse, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Ability to accurately record and document data handling and processing for ensured repeatability and traceability
Remote and on-call responsibilities may be required
Ability to work overtime required on occasion",None Found,"Work with the Software Development, Requirements Development, Cyber Security teams and the new e-Discovery team to build working dashboards within PowerBI of business driven reports
View multiple sources of data and interpret business operations/intelligence
Build the analytics practice within the Office of Information Technology division for the federal customer
Translate business requirements within disperse data sources
Build forecasting models
Drive the federal agency to a data-driven culture
Facilitate sessions with the customer to determine key data metrics, interpreting data, analyzing results using statistical techniques and providing ongoing reports
Develop and implement databases, data collection systems, data analytics and other data repository tools and processes that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintaining databases/data repositories and data analysis systems
Conduct full lifecycle analysis to include requirements gathering, experiment design, data cleansing, documentation, and presentation
Develop analysis and reporting capabilities and monitor performance and quality control plans to identify improvements
Develop requirements from a project’s inception to its conclusion in the subject matter area for simple to moderately complex systems
Assist other team members with analysis and evaluation and with the preparation of recommendations for project or engagement-wide matters
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems as well as applying the best practices of data science
Work with management to prioritize business and needs and aligned information needs
Locate and define new process improvement opportunities",None Found,None Found
1553,Data Scientist (Artificial Intelligence/Machine Learning),"Birmingham, AL",None Found,None Found,None Found,None Found,"Bachelor’s degree from an accredited institution in Computer Science, Data Science, or related field highly preferred
Minimum of 2 years of relevant Data Analytics or Software Development experience in Python highly preferred; knowledge of healthcare and EMR software is a plus
The candidate must possess excellent interpersonal and problem solving skills, must demonstrate efficiency, punctuality and professional communication via phone and email.
Proficiency in basic computer operation within a Windows environment, and have a basic knowledge of .Net programming."
1554,Data Scientist,"Herndon, VA","
High levels of curiosity, creativity, and problem solving capabilities
Experience with Python
Experience with R
Strong understanding of machine learning fundamentals
Ability to work both independently and collaboratively with a team
Experience working in AWS environment
Educational background in data science or equivalent mastery
","
Experience with deep learning
Experience with imagery processing
Experience with geospatial Python libraries
",None Found,None Found,None Found
1555,Senior Data Scientist,"Sunnyvale, CA 94089",None Found,None Found,None Found,None Found,None Found
1556,"Data Scientist, RPSG","New York, NY 11201",None Found,None Found,"
Identify the data analytics problems that offer the greatest opportunities for growth and improvement by building metrics and models that will comprise the basis of EduStat.
Identify, evaluate, and refine metrics from other Department data systems and develop machine learning models to identify hidden patterns and trends to focus leadership conversations and support data-driven decision-making.
Collect and analyze large sets of structured- and unstructured data from various and distinct sources.
Utilize a combination of variables and data points to create metrics and cut points to identify key early warning indicators of adverse outcomes.
Utilize machine learning algorithms and statistics such as regression, simulation, scenario analysis, modeling, etc. to interpret data to feed EduStat reporting.
Evaluate metrics currently in use and identify meaningful cut points and metrics to drive attention and resources to areas of greatest opportunity.
Coordinate with a cross-functional team of analysts contributing to dataset creation and maintenance as well as back- and front-end designers.
Work closely with programmers and UX designers to support the development of business requirements and ensure relevant metrics are presented accurately, with fidelity, and in context.
Collaborate with DOE policymakers and educators to identify central research and analytic priorities, which can include the implementation of organizational procedures, structures, and programs, utilization of data systems and data collection, and performance standards.
Develop a testing framework and test model quality; develop processes and tools to monitor and analyze model performance.
Work with stakeholders throughout the Department to identify opportunities to leverage student data to drive decision-making by school leaders and at the highest levels of the organization.
Draft communications based on updates to relevant policies and new product launches or improvements.
Design and produce both ad hoc and regular reports to meet a variety of needs from diverse stakeholders which may include other teams within the Division of Teaching and Learning.
","
Identify the data analytics problems that offer the greatest opportunities for growth and improvement by building metrics and models that will comprise the basis of EduStat.
Identify, evaluate, and refine metrics from other Department data systems and develop machine learning models to identify hidden patterns and trends to focus leadership conversations and support data-driven decision-making.
Collect and analyze large sets of structured- and unstructured data from various and distinct sources.
Utilize a combination of variables and data points to create metrics and cut points to identify key early warning indicators of adverse outcomes.
Utilize machine learning algorithms and statistics such as regression, simulation, scenario analysis, modeling, etc. to interpret data to feed EduStat reporting.
Evaluate metrics currently in use and identify meaningful cut points and metrics to drive attention and resources to areas of greatest opportunity.
Coordinate with a cross-functional team of analysts contributing to dataset creation and maintenance as well as back- and front-end designers.
Work closely with programmers and UX designers to support the development of business requirements and ensure relevant metrics are presented accurately, with fidelity, and in context.
Collaborate with DOE policymakers and educators to identify central research and analytic priorities, which can include the implementation of organizational procedures, structures, and programs, utilization of data systems and data collection, and performance standards.
Develop a testing framework and test model quality; develop processes and tools to monitor and analyze model performance.
Work with stakeholders throughout the Department to identify opportunities to leverage student data to drive decision-making by school leaders and at the highest levels of the organization.
Draft communications based on updates to relevant policies and new product launches or improvements.
Design and produce both ad hoc and regular reports to meet a variety of needs from diverse stakeholders which may include other teams within the Division of Teaching and Learning.
","
A master’s degree from an accredited college in economics, finance, accounting, business or public administration, human resources management, management science, operations research, organizational behavior, industrial psychology, statistics, personnel administration, labor relations, psychology, sociology, human resources development, political science, or a closely related field; or
A baccalaureate degree from an accredited college and two years of full-time satisfactory professional experience working with the budget of a large public or private concern in public administration, accounting, economic or financial administration, or fiscal or economic research; or in management or methods analysis, operations research, organizational research or program evaluation; or in educational, personnel or public administration, recruitment, position classification, personnel relations, labor relations, employee benefits, staff development, employment program planning/administration, labor market research, economic planning, fiscal management; or in a related area.
"
1557,Data Scientist,"Durham, NC 27709",None Found,None Found,"
Analysis and management of data derived from pharmaceutical discovery assays
Evaluation of complex data sets and interpretation of results within the context of biological processes
Programming or integration of systems to support pharmaceutical drug discovery.
",None Found,"
BS degree and a minimum of 2+ years relevant industry experience required
Extensive experience with Python and R is required
Experience with analytics software packages such as Spotfire or JMP and data visualization via Jupyter, D3, Plotly, or other tools is required
Experience analyzing complex data sets and deriving and communicating conclusions and next steps is required
Experience in algorithm design, development, and application is required
Relevant experience in drug discovery is required
Familiarity with relational databases and SQL is required
Familiarity with version control concepts and best practices, including Git is required
Working knowledge of statistics and experience in the application of statistics to solve diverse problems is required
Ability to work in a fast-paced environment and to support defined timelines is required
Ability to work effectively both independently and in cross-functional teams is required
Excellent interpersonal skills, strong initiative, excellent organization and attention to detail, proactive communication skills, and strong written and verbal communication and presentation skills are required
Experience with commercial cloud computing platforms (AWS, Azure, etc.) a plus
Experience in the integration and configuration of commercial LIMS software a plus
Working knowledge of biology and biological processes a plus
"
1558,Data Scientist,"Boston, MA",None Found,None Found,None Found,None Found,None Found
1559,Machine Learning / NLP Data Scientist,"Chicago, IL",None Found,None Found,None Found,None Found,"
Minimum BA/BS; MBA from a top school or advanced degree in related field to client portfolio preferred
Candidates based in the greater Chicago-land area are strongly preferred
Position requires periodic travel, potentially up to 100% for particular assignments, including short-term international projects
Additional language capabilities are highly desirable
"
1560,SENIOR DATA SCIENTIST,"Seattle, WA",None Found,None Found,None Found,None Found,None Found
1561,eDiscovery Data Scientist,"Washington, DC","Bachelors Degree and Five (5) years of professional work experience, of which at least five (5) years must be specialized
Must be able to obtain a Moderate Background Investigation (MBI) security clearance
US Citizenship or Permanent Residence/Green Card status required
5+ years' experience working in the insights/analytics industry (including data science, analytics/business intelligence)
5+ years' experience working with statistical software (Python or similar) either professionally or academically
5+ years' experience working with visualization tools (PowerBI preferred)
Proven working experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining, data visualization, statistical analytics, and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks such as Tableau, Qlik)
Strong analytical skills with the ability to collect, cleanse, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Ability to accurately record and document data handling and processing for ensured repeatability and traceability
Remote and on-call responsibilities may be required
Ability to work overtime required on occasion",None Found,"Work with the Software Development, Requirements Development, Cyber Security teams and the new e-Discovery team to build working dashboards within PowerBI of business driven reports
View multiple sources of data and interpret business operations/intelligence
Build the analytics practice within the Office of Information Technology division for the federal customer
Translate business requirements within disperse data sources
Build forecasting models
Drive the federal agency to a data-driven culture
Facilitate sessions with the customer to determine key data metrics, interpreting data, analyzing results using statistical techniques and providing ongoing reports
Develop and implement databases, data collection systems, data analytics and other data repository tools and processes that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintaining databases/data repositories and data analysis systems
Conduct full lifecycle analysis to include requirements gathering, experiment design, data cleansing, documentation, and presentation
Develop analysis and reporting capabilities and monitor performance and quality control plans to identify improvements
Develop requirements from a project’s inception to its conclusion in the subject matter area for simple to moderately complex systems
Assist other team members with analysis and evaluation and with the preparation of recommendations for project or engagement-wide matters
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems as well as applying the best practices of data science
Work with management to prioritize business and needs and aligned information needs
Locate and define new process improvement opportunities",None Found,None Found
1562,Data Scientist (Artificial Intelligence/Machine Learning),"Birmingham, AL",None Found,None Found,None Found,None Found,"Bachelor’s degree from an accredited institution in Computer Science, Data Science, or related field highly preferred
Minimum of 2 years of relevant Data Analytics or Software Development experience in Python highly preferred; knowledge of healthcare and EMR software is a plus
The candidate must possess excellent interpersonal and problem solving skills, must demonstrate efficiency, punctuality and professional communication via phone and email.
Proficiency in basic computer operation within a Windows environment, and have a basic knowledge of .Net programming."
1563,Data Scientist,"Herndon, VA","
High levels of curiosity, creativity, and problem solving capabilities
Experience with Python
Experience with R
Strong understanding of machine learning fundamentals
Ability to work both independently and collaboratively with a team
Experience working in AWS environment
Educational background in data science or equivalent mastery
","
Experience with deep learning
Experience with imagery processing
Experience with geospatial Python libraries
",None Found,None Found,None Found
1564,Senior Data Scientist,"Sunnyvale, CA 94089",None Found,None Found,None Found,None Found,None Found
